"klinik";"laki_laki";"perempuan";"periode_update"
"Eksekutif Mata";"28";"34";"April 2021"
"TB MDR";"20";"13";"April 2021"
"Eksekutif Rehab Medik";"18";"18";"April 2021"
"Eksekutif Bedah Saraf";"19";"13";"April 2021"
"MATA";"117";"97";"April 2021"
"Eksekutif Kebidanan/Kandungan";"0";"60";"April 2021"
"HEMODIALISA";"129";"113";"April 2021"
"GIGI & MULUT";"28";"58";"April 2021"
"Eksekutif Anak";"4";"3";"April 2021"
"BEDAH UROLOGI";"172";"58";"April 2021"
"Eksekutif Interne/Penyakit Dalam";"90";"103";"April 2021"
"KULIT & KELAMIN";"70";"72";"April 2021"
"Eksekutif Saraf";"35";"30";"April 2021"
"REHAB MEDIK";"134";"125";"April 2021"
"BEDAH SYARAF";"28";"55";"April 2021"
"PSIKIATRI/JIWA";"72";"70";"April 2021"
"BEDAH UMUM";"40";"71";"April 2021"
"KEBIDANAN/KANDUNGAN";"0";"26";"April 2021"
"Eksekutif Bedah Orthopedi";"52";"57";"April 2021"
"KELUARGA BERENCANA";"1";"7";"April 2021"
"JANTUNG";"237";"227";"April 2021"
"Eksekutif Psikiatri / Jiwa";"0";"6";"April 2021"
"GENERAL CHECKUP";"333";"350";"April 2021"
"Eksekutif THT";"9";"3";"April 2021"
"SYARAF";"124";"113";"April 2021"
"PARU";"33";"34";"April 2021"
"Eksekutif Bedah Urologi";"40";"16";"April 2021"
"Eksekutif Kulit dan Kelamin";"22";"31";"April 2021"
"INTERNE/PENY. DALAM";"425";"508";"April 2021"
"Eksekutif Jantung";"65";"65";"April 2021"
"Eksekutif Paru";"6";"4";"April 2021"
"GIZI";"8";"1";"Mei 2021"
"Eksekutif Bedah Umum";"35";"42";"Mei 2021"
"Eksekutif Paliatif Nyeri";"1";"4";"Mei 2021"
"Eksekutif Gigi dan Mulut";"3";"2";"Mei 2021"
"PALIATIF NYERI";"0";"2";"Mei 2021"
"THT-KL";"39";"32";"Mei 2021"
"ASIH";"1";"38";"Mei 2021"
"BEDAH ORTHOPEDI";"141";"149";"Mei 2021"
"ANAK";"40";"36";"Mei 2021"
"Eksekutif Bedah Saraf";"19";"20";"Mei 2021"
"TB MDR";"18";"14";"Mei 2021"
"Eksekutif Mata";"24";"44";"Mei 2021"
"Eksekutif Rehab Medik";"16";"17";"Mei 2021"
"MATA";"86";"110";"Mei 2021"
"Eksekutif Kebidanan/Kandungan";"2";"66";"Mei 2021"
"HEMODIALISA";"128";"114";"Mei 2021"
"GIGI & MULUT";"31";"39";"Mei 2021"
"Eksekutif Anak";"4";"0";"Mei 2021"
"BEDAH UROLOGI";"178";"58";"Mei 2021"
"Eksekutif Interne/Penyakit Dalam";"77";"93";"Mei 2021"
"KULIT & KELAMIN";"68";"72";"Mei 2021"
"Eksekutif Saraf";"42";"31";"Mei 2021"
"REHAB MEDIK";"133";"125";"Mei 2021"
"BEDAH SYARAF";"38";"62";"Mei 2021"
"PSIKIATRI/JIWA";"57";"68";"Mei 2021"
"BEDAH UMUM";"47";"76";"Mei 2021"
"KEBIDANAN/KANDUNGAN";"0";"23";"Mei 2021"
"Eksekutif Bedah Orthopedi";"48";"51";"Mei 2021"
"KELUARGA BERENCANA";"1";"4";"Mei 2021"
"JANTUNG";"236";"211";"Mei 2021"
"Eksekutif Psikiatri / Jiwa";"4";"3";"Mei 2021"
"GENERAL CHECKUP";"403";"322";"Mei 2021"
"SYARAF";"122";"120";"Mei 2021"
"PARU";"27";"34";"Mei 2021"
"Eksekutif THT";"3";"7";"Mei 2021"
"Eksekutif Bedah Urologi";"37";"13";"Mei 2021"
"Eksekutif Kulit dan Kelamin";"17";"33";"Mei 2021"
"INTERNE/PENY. DALAM";"420";"491";"Mei 2021"
"Eksekutif Jantung";"46";"66";"Mei 2021"
"Eksekutif Paru";"7";"6";"Mei 2021"
"GIZI";"3";"1";"Juni 2021"
"Eksekutif Bedah Umum";"39";"43";"Juni 2021"
"Eksekutif Gigi dan Mulut";"3";"4";"Juni 2021"
"PALIATIF NYERI";"1";"0";"Juni 2021"
"THT-KL";"44";"65";"Juni 2021"
"ASIH";"2";"46";"Juni 2021"
"Eksekutif Endoskopi";"0";"1";"Juni 2021"
"BEDAH ORTHOPEDI";"178";"190";"Juni 2021"
"ANAK";"59";"33";"Juni 2021"
"Eksekutif Rehab Medik";"19";"14";"Juni 2021"
"Eksekutif Mata";"30";"49";"Juni 2021"
"Eksekutif Bedah Saraf";"20";"16";"Juni 2021"
"TB MDR";"19";"12";"Juni 2021"
"Eksekutif Kebidanan/Kandungan";"0";"80";"Juni 2021"
"MATA";"104";"147";"Juni 2021"
"HEMODIALISA";"131";"115";"Juni 2021"
"GIGI & MULUT";"37";"55";"Juni 2021"
"Eksekutif Anak";"1";"0";"Juni 2021"
"BEDAH UROLOGI";"179";"71";"Juni 2021"
"Eksekutif Interne/Penyakit Dalam";"78";"122";"Juni 2021"
"KULIT & KELAMIN";"79";"74";"Juni 2021"
"REHAB MEDIK";"155";"147";"Juni 2021"
"PSIKIATRI/JIWA";"67";"81";"Juni 2021"
"Eksekutif Saraf";"41";"42";"Juni 2021"
"BEDAH SYARAF";"43";"65";"Juni 2021"
"BEDAH UMUM";"65";"91";"Juni 2021"
"KEBIDANAN/KANDUNGAN";"0";"34";"Juni 2021"
"Eksekutif Bedah Orthopedi";"56";"84";"Juni 2021"
"KELUARGA BERENCANA";"0";"5";"Juni 2021"
"JANTUNG";"254";"278";"Juni 2021"
"Eksekutif Psikiatri / Jiwa";"1";"2";"Juni 2021"
"GENERAL CHECKUP";"539";"645";"Juni 2021"
"PARU";"41";"33";"Juni 2021"
"SYARAF";"138";"134";"Juni 2021"
"Eksekutif THT";"5";"5";"Juni 2021"
"Eksekutif Kulit dan Kelamin";"19";"22";"Juni 2021"
"Eksekutif Bedah Urologi";"37";"9";"Juni 2021"
"INTERNE/PENY. DALAM";"431";"526";"Juni 2021"
"Eksekutif Jantung";"59";"89";"Juni 2021"
"Eksekutif Paru";"9";"7";"Juni 2021"
"Eksekutif Paliatif Nyeri";"2";"2";"Juni 2021"
"GIZI";"0";"3";"Juli 2021"
"Eksekutif Jantung";"49";"31";"Juli 2021"
"INTERNE/PENY. DALAM";"362";"428";"Juli 2021"
"Eksekutif Paru";"13";"4";"Juli 2021"
"Eksekutif Bedah Umum";"17";"33";"Juli 2021"
"PALIATIF NYERI";"0";"1";"Juli 2021"
"THT-KL";"27";"34";"Juli 2021"
"ASIH";"0";"38";"Juli 2021"
"BEDAH ORTHOPEDI";"119";"148";"Juli 2021"
"ANAK";"29";"23";"Juli 2021"
"Eksekutif Rehab Medik";"9";"5";"Juli 2021"
"Eksekutif Bedah Saraf";"17";"10";"Juli 2021"
"Eksekutif Mata";"10";"20";"Juli 2021"
"TB MDR";"15";"14";"Juli 2021"
"MATA";"52";"64";"Juli 2021"
"Eksekutif Kebidanan/Kandungan";"1";"142";"Juli 2021"
"HEMODIALISA";"134";"108";"Juli 2021"
"GIGI & MULUT";"21";"29";"Juli 2021"
"BEDAH UROLOGI";"117";"48";"Juli 2021"
"Eksekutif Interne/Penyakit Dalam";"46";"64";"Juli 2021"
"KULIT & KELAMIN";"48";"54";"Juli 2021"
"REHAB MEDIK";"105";"118";"Juli 2021"
"PSIKIATRI/JIWA";"50";"72";"Juli 2021"
"BEDAH SYARAF";"26";"29";"Juli 2021"
"Eksekutif Saraf";"29";"27";"Juli 2021"
"BEDAH UMUM";"24";"59";"Juli 2021"
"KEBIDANAN/KANDUNGAN";"1";"20";"Juli 2021"
"Eksekutif Bedah Orthopedi";"45";"45";"Juli 2021"
"KELUARGA BERENCANA";"0";"1";"Juli 2021"
"JANTUNG";"157";"161";"Juli 2021"
"Eksekutif Psikiatri / Jiwa";"1";"0";"Juli 2021"
"GENERAL CHECKUP";"1337";"1059";"Juli 2021"
"SYARAF";"92";"72";"Juli 2021"
"Eksekutif THT";"4";"1";"Juli 2021"
"PARU";"30";"37";"Juli 2021"
"Eksekutif Bedah Urologi";"23";"7";"Juli 2021"
"Eksekutif Kulit dan Kelamin";"6";"8";"Juli 2021"
"GIZI";"1";"1";"Agustus 2021"
"Eksekutif Bedah Umum";"31";"49";"Agustus 2021"
"Eksekutif Paliatif Nyeri";"2";"1";"Agustus 2021"
"Eksekutif Gigi dan Mulut";"1";"3";"Agustus 2021"
"THT-KL";"31";"24";"Agustus 2021"
"ASIH";"3";"26";"Agustus 2021"
"BEDAH ORTHOPEDI";"144";"138";"Agustus 2021"
"ANAK";"32";"24";"Agustus 2021"
"TB MDR";"13";"10";"Agustus 2021"
"Eksekutif Bedah Saraf";"10";"11";"Agustus 2021"
"Eksekutif Mata";"23";"42";"Agustus 2021"
"Eksekutif Rehab Medik";"12";"10";"Agustus 2021"
"KARYAWAN K3RS";"0";"1";"Agustus 2021"
"MATA";"66";"62";"Agustus 2021"
"Eksekutif Kebidanan/Kandungan";"0";"87";"Agustus 2021"
"HEMODIALISA";"113";"89";"Agustus 2021"
"GIGI & MULUT";"30";"38";"Agustus 2021"
"Eksekutif Anak";"1";"1";"Agustus 2021"
"BEDAH UROLOGI";"142";"46";"Agustus 2021"
"Eksekutif Interne/Penyakit Dalam";"69";"91";"Agustus 2021"
"KULIT & KELAMIN";"66";"64";"Agustus 2021"
"REHAB MEDIK";"105";"105";"Agustus 2021"
"BEDAH SYARAF";"22";"30";"Agustus 2021"
"PSIKIATRI/JIWA";"52";"67";"Agustus 2021"
"Eksekutif Saraf";"44";"37";"Agustus 2021"
"KEBIDANAN/KANDUNGAN";"0";"16";"Agustus 2021"
"BEDAH UMUM";"30";"59";"Agustus 2021"
"Eksekutif Bedah Orthopedi";"41";"52";"Agustus 2021"
"KELUARGA BERENCANA";"0";"8";"Agustus 2021"
"JANTUNG";"182";"169";"Agustus 2021"
"Eksekutif Psikiatri / Jiwa";"2";"0";"Agustus 2021"
"GENERAL CHECKUP";"1054";"596";"Agustus 2021"
"SYARAF";"87";"74";"Agustus 2021"
"PARU";"41";"35";"Agustus 2021"
"Eksekutif THT";"7";"2";"Agustus 2021"
"Eksekutif Bedah Urologi";"42";"13";"Agustus 2021"
"Eksekutif Kulit dan Kelamin";"15";"34";"Agustus 2021"
"INTERNE/PENY. DALAM";"358";"429";"Agustus 2021"
"Eksekutif Jantung";"34";"47";"Agustus 2021"
"Eksekutif Paru";"18";"12";"Agustus 2021"
"GIZI";"3";"4";"September 2021"
"Eksekutif Bedah Umum";"40";"58";"September 2021"
"Eksekutif Paliatif Nyeri";"3";"9";"September 2021"
"Eksekutif Gigi dan Mulut";"2";"0";"September 2021"
"PALIATIF NYERI";"0";"2";"September 2021"
"THT-KL";"47";"38";"September 2021"
"ASIH";"0";"32";"September 2021"
"BEDAH ORTHOPEDI";"167";"169";"September 2021"
"ANAK";"45";"30";"September 2021"
"TB MDR";"15";"18";"September 2021"
"Eksekutif Mata";"28";"47";"September 2021"
"Eksekutif Rehab Medik";"15";"15";"September 2021"
"Eksekutif Bedah Saraf";"19";"12";"September 2021"
"MATA";"98";"100";"September 2021"
"Eksekutif Kebidanan/Kandungan";"0";"59";"September 2021"
"HEMODIALISA";"110";"87";"September 2021"
"GIGI & MULUT";"38";"43";"September 2021"
"Eksekutif Anak";"7";"2";"September 2021"
"BEDAH UROLOGI";"167";"56";"September 2021"
"Eksekutif Interne/Penyakit Dalam";"72";"96";"September 2021"
"KULIT & KELAMIN";"62";"74";"September 2021"
"REHAB MEDIK";"133";"143";"September 2021"
"PSIKIATRI/JIWA";"59";"65";"September 2021"
"BEDAH SYARAF";"30";"49";"September 2021"
"Eksekutif Saraf";"24";"33";"September 2021"
"BEDAH UMUM";"53";"89";"September 2021"
"KEBIDANAN/KANDUNGAN";"0";"22";"September 2021"
"Eksekutif Bedah Orthopedi";"42";"56";"September 2021"
"KELUARGA BERENCANA";"0";"6";"September 2021"
"JANTUNG";"231";"235";"September 2021"
"Eksekutif Psikiatri / Jiwa";"2";"4";"September 2021"
"GENERAL CHECKUP";"1372";"1330";"September 2021"
"SYARAF";"106";"106";"September 2021"
"PARU";"42";"42";"September 2021"
"Eksekutif THT";"10";"4";"September 2021"
"Eksekutif Kulit dan Kelamin";"17";"34";"September 2021"
"Eksekutif Bedah Urologi";"55";"14";"September 2021"
"INTERNE/PENY. DALAM";"402";"460";"September 2021"
"Eksekutif Jantung";"55";"59";"September 2021"
"Eksekutif Paru";"13";"2";"September 2021"
"GIZI";"3";"0";"Oktober 2021"
"Eksekutif Bedah Umum";"42";"55";"Oktober 2021"
"Eksekutif Paliatif Nyeri";"0";"6";"Oktober 2021"
"Eksekutif Gigi dan Mulut";"3";"3";"Oktober 2021"
"PALIATIF NYERI";"1";"0";"Oktober 2021"
"THT-KL";"48";"47";"Oktober 2021"
"ASIH";"1";"54";"Oktober 2021"
"BEDAH ORTHOPEDI";"181";"174";"Oktober 2021"
"ANAK";"46";"30";"Oktober 2021"
"Eksekutif Mata";"30";"64";"Oktober 2021"
"Eksekutif Rehab Medik";"18";"18";"Oktober 2021"
"Eksekutif Bedah Saraf";"10";"6";"Oktober 2021"
"TB MDR";"14";"5";"Oktober 2021"
"MATA";"95";"106";"Oktober 2021"
"Eksekutif Kebidanan/Kandungan";"1";"61";"Oktober 2021"
"HEMODIALISA";"112";"81";"Oktober 2021"
"GIGI & MULUT";"46";"55";"Oktober 2021"
"Eksekutif Anak";"4";"3";"Oktober 2021"
"BEDAH UROLOGI";"187";"61";"Oktober 2021"
"Eksekutif Interne/Penyakit Dalam";"80";"92";"Oktober 2021"
"KULIT & KELAMIN";"77";"91";"Oktober 2021"
"BEDAH SYARAF";"31";"48";"Oktober 2021"
"REHAB MEDIK";"155";"161";"Oktober 2021"
"PSIKIATRI/JIWA";"60";"77";"Oktober 2021"
"Eksekutif Saraf";"29";"29";"Oktober 2021"
"BEDAH UMUM";"67";"94";"Oktober 2021"
"KEBIDANAN/KANDUNGAN";"1";"37";"Oktober 2021"
"Eksekutif Bedah Orthopedi";"54";"76";"Oktober 2021"
"KELUARGA BERENCANA";"0";"3";"Oktober 2021"
"JANTUNG";"241";"309";"Oktober 2021"
"Eksekutif Psikiatri / Jiwa";"6";"1";"Oktober 2021"
"GENERAL CHECKUP";"861";"793";"Oktober 2021"
"SYARAF";"116";"114";"Oktober 2021"
"Eksekutif THT";"9";"11";"Oktober 2021"
"PARU";"33";"46";"Oktober 2021"
"Eksekutif Bedah Urologi";"40";"20";"Oktober 2021"
"Eksekutif Kulit dan Kelamin";"12";"24";"Oktober 2021"
"INTERNE/PENY. DALAM";"416";"493";"Oktober 2021"
"Eksekutif Jantung";"45";"66";"Oktober 2021"
"Eksekutif Paru";"11";"5";"Oktober 2021"
"GIZI";"14";"8";"Oktober 2022"
"Eksekutif Bedah Umum";"39";"46";"Oktober 2022"
"Eksekutif Gigi dan Mulut";"5";"4";"Oktober 2022"
"THT-KL";"79";"75";"Oktober 2022"
"ASIH";"0";"50";"Oktober 2022"
"Eksekutif Endoskopi";"1";"0";"Oktober 2022"
"BEDAH ORTHOPEDI";"221";"223";"Oktober 2022"
"ANAK";"102";"84";"Oktober 2022"
"Eksekutif Mata";"27";"53";"Oktober 2022"
"TB MDR";"19";"7";"Oktober 2022"
"Eksekutif Bedah Saraf";"12";"18";"Oktober 2022"
"Eksekutif Rehab Medik";"19";"17";"Oktober 2022"
"MATA";"125";"120";"Oktober 2022"
"Eksekutif Kebidanan/Kandungan";"2";"53";"Oktober 2022"
"HEMODIALISA";"138";"119";"Oktober 2022"
"GIGI & MULUT";"65";"82";"Oktober 2022"
"Eksekutif Anak";"10";"5";"Oktober 2022"
"Eksekutif Interne/Penyakit Dalam";"81";"110";"Oktober 2022"
"BEDAH UROLOGI";"204";"63";"Oktober 2022"
"KULIT & KELAMIN";"78";"103";"Oktober 2022"
"REHAB MEDIK";"241";"280";"Oktober 2022"
"PSIKIATRI/JIWA";"68";"69";"Oktober 2022"
"BEDAH SYARAF";"63";"105";"Oktober 2022"
"Eksekutif Saraf";"36";"34";"Oktober 2022"
"Eksekutif Estetika";"11";"44";"Oktober 2022"
"BEDAH UMUM";"81";"133";"Oktober 2022"
"KEBIDANAN/KANDUNGAN";"1";"29";"Oktober 2022"
"Eksekutif Bedah Orthopedi";"53";"49";"Oktober 2022"
"KELUARGA BERENCANA";"0";"3";"Oktober 2022"
"JANTUNG";"365";"339";"Oktober 2022"
"Eksekutif Psikiatri / Jiwa";"4";"5";"Oktober 2022"
"GENERAL CHECKUP";"212";"185";"Oktober 2022"
"SYARAF";"210";"207";"Oktober 2022"
"Eksekutif THT";"12";"13";"Oktober 2022"
"PARU";"52";"38";"Oktober 2022"
"Eksekutif Kulit dan Kelamin";"18";"21";"Oktober 2022"
"Eksekutif Bedah Urologi";"45";"10";"Oktober 2022"
"INTERNE/PENY. DALAM";"561";"666";"Oktober 2022"
"ANASTESI";"23";"12";"Oktober 2022"
"Eksekutif Paru";"4";"12";"Oktober 2022"
"Eksekutif Jantung";"68";"69";"Oktober 2022"
"Eksekutif Paliatif Nyeri";"12";"30";"Oktober 2022"
"PALIATIF NYERI";"1";"5";"Oktober 2022"
"GIZI";"10";"7";"November 2022"
"Eksekutif Bedah Umum";"39";"46";"November 2022"
"Eksekutif Gigi dan Mulut";"6";"5";"November 2022"
"THT-KL";"86";"87";"November 2022"
"ANAK";"105";"77";"November 2022"
"BEDAH ORTHOPEDI";"265";"269";"November 2022"
"Eksekutif Mata";"31";"67";"November 2022"
"TB MDR";"18";"7";"November 2022"
"Eksekutif Rehab Medik";"18";"16";"November 2022"
"Eksekutif Bedah Saraf";"13";"19";"November 2022"
"MATA";"124";"136";"November 2022"
"Eksekutif Kebidanan/Kandungan";"1";"64";"November 2022"
"HEMODIALISA";"137";"119";"November 2022"
"GIGI & MULUT";"66";"92";"November 2022"
"Eksekutif Anak";"11";"6";"November 2022"
"Eksekutif Interne/Penyakit Dalam";"92";"119";"November 2022"
"BEDAH UROLOGI";"209";"69";"November 2022"
"KULIT & KELAMIN";"81";"94";"November 2022"
"BEDAH SYARAF";"79";"100";"November 2022"
"REHAB MEDIK";"255";"288";"November 2022"
"PSIKIATRI/JIWA";"62";"76";"November 2022"
"Eksekutif Saraf";"34";"43";"November 2022"
"ONKOLOGI";"1";"0";"November 2022"
"Eksekutif Estetika";"9";"37";"November 2022"
"BEDAH UMUM";"81";"149";"November 2022"
"KEBIDANAN/KANDUNGAN";"0";"46";"November 2022"
"Eksekutif Bedah Orthopedi";"53";"76";"November 2022"
"KELUARGA BERENCANA";"0";"8";"November 2022"
"JANTUNG";"366";"360";"November 2022"
"Eksekutif Psikiatri / Jiwa";"7";"3";"November 2022"
"GENERAL CHECKUP";"58";"84";"November 2022"
"SYARAF";"223";"207";"November 2022"
"PARU";"47";"48";"November 2022"
"Eksekutif THT";"13";"7";"November 2022"
"Eksekutif Kulit dan Kelamin";"14";"17";"November 2022"
"Eksekutif Bedah Urologi";"45";"11";"November 2022"
"INTERNE/PENY. DALAM";"598";"723";"November 2022"
"ANASTESI";"17";"16";"November 2022"
"Eksekutif Paru";"9";"9";"November 2022"
"Eksekutif Jantung";"57";"79";"November 2022"
"Eksekutif Paliatif Nyeri";"14";"9";"November 2022"
"PALIATIF NYERI";"3";"3";"November 2022"
"VCT";"0";"1";"November 2022"
"ASIH";"0";"45";"November 2022"
"Eksekutif Endoskopi";"1";"0";"November 2022"
"GIZI";"10";"7";"Desember 2022"
"Eksekutif Bedah Umum";"39";"46";"Desember 2022"
"Eksekutif Gigi dan Mulut";"6";"5";"Desember 2022"
"THT-KL";"86";"87";"Desember 2022"
"ANAK";"105";"77";"Desember 2022"
"BEDAH ORTHOPEDI";"265";"269";"Desember 2022"
"Eksekutif Mata";"31";"67";"Desember 2022"
"TB MDR";"18";"7";"Desember 2022"
"Eksekutif Rehab Medik";"18";"16";"Desember 2022"
"Eksekutif Bedah Saraf";"13";"19";"Desember 2022"
"MATA";"124";"136";"Desember 2022"
"Eksekutif Kebidanan/Kandungan";"1";"64";"Desember 2022"
"HEMODIALISA";"137";"119";"Desember 2022"
"GIGI & MULUT";"66";"92";"Desember 2022"
"Eksekutif Anak";"11";"6";"Desember 2022"
"Eksekutif Interne/Penyakit Dalam";"92";"119";"Desember 2022"
"BEDAH UROLOGI";"209";"69";"Desember 2022"
"KULIT & KELAMIN";"81";"94";"Desember 2022"
"BEDAH SYARAF";"79";"100";"Desember 2022"
"REHAB MEDIK";"255";"288";"Desember 2022"
"PSIKIATRI/JIWA";"62";"76";"Desember 2022"
"Eksekutif Saraf";"34";"43";"Desember 2022"
"ONKOLOGI";"1";"0";"Desember 2022"
"Eksekutif Estetika";"9";"37";"Desember 2022"
"BEDAH UMUM";"81";"149";"Desember 2022"
"KEBIDANAN/KANDUNGAN";"0";"46";"Desember 2022"
"Eksekutif Bedah Orthopedi";"53";"76";"Desember 2022"
"KELUARGA BERENCANA";"0";"8";"Desember 2022"
"JANTUNG";"366";"360";"Desember 2022"
"Eksekutif Psikiatri / Jiwa";"7";"3";"Desember 2022"
"GENERAL CHECKUP";"58";"84";"Desember 2022"
"SYARAF";"223";"207";"Desember 2022"
"PARU";"47";"48";"Desember 2022"
"Eksekutif THT";"13";"7";"Desember 2022"
"Eksekutif Kulit dan Kelamin";"14";"17";"Desember 2022"
"Eksekutif Bedah Urologi";"45";"11";"Desember 2022"
"INTERNE/PENY. DALAM";"598";"723";"Desember 2022"
"ANASTESI";"17";"16";"Desember 2022"
"Eksekutif Paru";"9";"9";"Desember 2022"
"Eksekutif Jantung";"57";"79";"Desember 2022"
"Eksekutif Paliatif Nyeri";"14";"9";"Desember 2022"
"PALIATIF NYERI";"3";"3";"Desember 2022"
"VCT";"0";"1";"Desember 2022"
"ASIH";"0";"45";"Desember 2022"
"Eksekutif Endoskopi";"1";"0";"Desember 2022"
"GIZI";"11";"9";"Januari 2023"
"Eksekutif Bedah Umum";"44";"64";"Januari 2023"
"Eksekutif Gigi dan Mulut";"2";"6";"Januari 2023"
"THT-KL";"91";"81";"Januari 2023"
"ASIH";"2";"47";"Januari 2023"
"BEDAH ORTHOPEDI";"273";"301";"Januari 2023"
"ANAK";"91";"71";"Januari 2023"
"Eksekutif Bedah Saraf";"14";"23";"Januari 2023"
"Eksekutif Mata";"23";"64";"Januari 2023"
"TB MDR";"17";"12";"Januari 2023"
"Eksekutif Rehab Medik";"16";"18";"Januari 2023"
"MATA";"128";"170";"Januari 2023"
"Eksekutif Kebidanan/Kandungan";"1";"81";"Januari 2023"
"HEMODIALISA";"135";"122";"Januari 2023"
"GIGI & MULUT";"89";"108";"Januari 2023"
"Eksekutif Anak";"13";"9";"Januari 2023"
"BEDAH UROLOGI";"215";"89";"Januari 2023"
"Eksekutif Interne/Penyakit Dalam";"86";"127";"Januari 2023"
"KULIT & KELAMIN";"81";"97";"Januari 2023"
"BEDAH SYARAF";"88";"114";"Januari 2023"
"Eksekutif Saraf";"31";"38";"Januari 2023"
"REHAB MEDIK";"263";"323";"Januari 2023"
"PSIKIATRI/JIWA";"73";"75";"Januari 2023"
"Eksekutif Estetika";"17";"58";"Januari 2023"
"BEDAH UMUM";"97";"184";"Januari 2023"
"KEBIDANAN/KANDUNGAN";"1";"62";"Januari 2023"
"Eksekutif Bedah Orthopedi";"57";"98";"Januari 2023"
"KELUARGA BERENCANA";"0";"9";"Januari 2023"
"JANTUNG";"394";"405";"Januari 2023"
"Eksekutif Psikiatri / Jiwa";"4";"10";"Januari 2023"
"GENERAL CHECKUP";"142";"336";"Januari 2023"
"SYARAF";"221";"248";"Januari 2023"
"PARU";"49";"51";"Januari 2023"
"Eksekutif THT";"13";"16";"Januari 2023"
"Eksekutif Bedah Urologi";"51";"10";"Januari 2023"
"Eksekutif Kulit dan Kelamin";"18";"21";"Januari 2023"
"INTERNE/PENY. DALAM";"622";"766";"Januari 2023"
"ANASTESI";"19";"10";"Januari 2023"
"Eksekutif Paru";"9";"11";"Januari 2023"
"Eksekutif Jantung";"62";"83";"Januari 2023"
"Eksekutif Paliatif Nyeri";"6";"15";"Januari 2023"
"PALIATIF NYERI";"2";"2";"Januari 2023"
"GIZI";"23";"11";"Februari 2023"
"Eksekutif Bedah Umum";"36";"50";"Februari 2023"
"Eksekutif Gigi dan Mulut";"4";"8";"Februari 2023"
"THT-KL";"83";"70";"Februari 2023"
"ASIH";"2";"48";"Februari 2023"
"BEDAH ORTHOPEDI";"286";"318";"Februari 2023"
"ANAK";"109";"75";"Februari 2023"
"Eksekutif Bedah Saraf";"20";"20";"Februari 2023"
"Eksekutif Rehab Medik";"15";"16";"Februari 2023"
"TB MDR";"23";"9";"Februari 2023"
"Eksekutif Mata";"20";"46";"Februari 2023"
"KARYAWAN K3RS";"1";"0";"Februari 2023"
"Eksekutif Kebidanan/Kandungan";"2";"62";"Februari 2023"
"MATA";"149";"164";"Februari 2023"
"HEMODIALISA";"142";"131";"Februari 2023"
"KULIT dan KELAMIN";"90";"121";"Februari 2023"
"Eksekutif Anak";"14";"19";"Februari 2023"
"BEDAH UROLOGI";"211";"95";"Februari 2023"
"Eksekutif Interne/Penyakit Dalam";"90";"112";"Februari 2023"
"REHAB MEDIK";"299";"347";"Februari 2023"
"BEDAH SYARAF";"89";"112";"Februari 2023"
"PSIKIATRI/JIWA";"76";"74";"Februari 2023"
"Eksekutif Saraf";"36";"39";"Februari 2023"
"Eksekutif Estetika";"11";"47";"Februari 2023"
"BEDAH UMUM";"91";"173";"Februari 2023"
"KEBIDANAN/KANDUNGAN";"0";"58";"Februari 2023"
"Eksekutif Bedah Orthopedi";"65";"73";"Februari 2023"
"KELUARGA BERENCANA";"0";"7";"Februari 2023"
"JANTUNG";"443";"411";"Februari 2023"
"Eksekutif Psikiatri / Jiwa";"5";"6";"Februari 2023"
"GIGI dan MULUT";"93";"103";"Februari 2023"
"GENERAL CHECKUP";"161";"186";"Februari 2023"
"SYARAF";"246";"252";"Februari 2023"
"Eksekutif THT";"16";"13";"Februari 2023"
"PARU";"53";"59";"Februari 2023"
"Eksekutif Bedah Urologi";"50";"18";"Februari 2023"
"Eksekutif Kulit dan Kelamin";"11";"13";"Februari 2023"
"INTERNE/PENY. DALAM";"628";"764";"Februari 2023"
"Eksekutif Jantung";"56";"77";"Februari 2023"
"Eksekutif Paru";"9";"9";"Februari 2023"
"ANASTESI";"31";"23";"Februari 2023"
"Eksekutif Paliatif Nyeri";"6";"15";"Februari 2023"
"PALIATIF NYERI";"8";"16";"Februari 2023"
"GIZI";"16";"10";"Maret 2023"
"Eksekutif Bedah Umum";"31";"45";"Maret 2023"
"Eksekutif Gigi dan Mulut";"2";"6";"Maret 2023"
"THT-KL";"87";"84";"Maret 2023"
"ASIH";"4";"51";"Maret 2023"
"ANAK";"127";"77";"Maret 2023"
"BEDAH ORTHOPEDI";"287";"298";"Maret 2023"
"Eksekutif Bedah Saraf";"17";"15";"Maret 2023"
"Eksekutif Rehab Medik";"11";"15";"Maret 2023"
"Eksekutif Mata";"21";"47";"Maret 2023"
"TB MDR";"18";"14";"Maret 2023"
"Eksekutif Kebidanan/Kandungan";"1";"81";"Maret 2023"
"MATA";"152";"162";"Maret 2023"
"HEMODIALISA";"144";"132";"Maret 2023"
"KULIT dan KELAMIN";"85";"117";"Maret 2023"
"Eksekutif Anak";"20";"15";"Maret 2023"
"BEDAH UROLOGI";"245";"88";"Maret 2023"
"Eksekutif Interne/Penyakit Dalam";"99";"113";"Maret 2023"
"REHAB MEDIK";"325";"360";"Maret 2023"
"BEDAH SYARAF";"89";"104";"Maret 2023"
"PSIKIATRI/JIWA";"80";"89";"Maret 2023"
"Eksekutif Saraf";"44";"36";"Maret 2023"
"Eksekutif Estetika";"15";"54";"Maret 2023"
"BEDAH UMUM";"91";"177";"Maret 2023"
